team_id,team_name,season
496,Rio Ave FC,2025
498,Sporting Clube de Portugal,2025
503,FC Porto,2025
582,GD Estoril Praia,2025
583,Moreirense FC,2025
712,FC Arouca,2025
1049,CD Tondela,2025
1903,Sport Lisboa e Benfica,2025
5529,CD Nacional,2025
5530,CD Santa Clara,2025
5531,FC Famalicão,2025
5533,Gil Vicente FC,2025
5543,Vitória SC,2025
5613,Sporting Clube de Braga,2025
6618,Casa Pia AC,2025
7822,FC Alverca,2025
9136,CF Estrela da Amadora,2025
10340,AVS,2025
810,Boavista FC,2024
5602,SC Farense,2024
1103,GD Chaves,2023
5589,FC Vizela,2023
5601,Portimonense SC,2023
